participant, machine, phoneRank, staticRank, AdaptiveRank
1, 1, 3, 2, 1
1, 2, 3, 2, 1
1, 3, 3, 2, 1
2, 1, 3, 1, 2
2, 2, 3, 2, 1
2, 3, 3, 2, 1
3, 1, 3, 1, 2
3, 2, 3, 1, 2
3, 3, 3, 1, 2
4, 1, 3, 1, 2
4, 2, 3, 1, 2
4, 3, 3, 1, 2
5, 1, 3, 1, 2
5, 3, 3, 1, 1
5, 2, 3, 1, 2
6, 1, 3, 2, 1
6, 3, 3, 2, 1
6, 2, 1, 3, 2
7, 1, 2, 1, 3
7, 3, 2, 3, 1
7, 2, 2, 3, 1
8, 2, 2, 1, 3
8, 1, 3, 1, 2
8, 3, 3, 2, 1
9, 2, 2, 1, 3
9, 1, 1, 2, 3
9, 3, 1, 2, 2
10, 2, 3, 1, 2
10, 1, 3, 1, 2
10, 3, 3, 1, 2
11, 2, 2, 1, 3
11, 1, 3, 1, 2
11, 3, 3, 2, 1
12, 2, 3, 1, 2
12, 3, 3, 2, 1
12, 1, 2, 3, 1
13, 2, 3, 1, 2
13, 3, 1, 3, 2
13, 1, 2, 1, 3
14, 3, 3, 2, 1
14, 2, 3, 2, 1
14, 1, 3, 1, 1
15, 3, 3, 2, 1
15, 2, 3, 1, 2
15, 1, 3, 2, 1
16, 3, 3, 2, 1
16, 2, 3, 2, 1
16, 1, 3, 2, 1